"","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"Unknown.106",0.632427742713629,0.306930693069307,0.0100450326808509,0.851485148514851
"maleic.acid",0.619546809659282,0.425742574257426,0.00142400675813784,1
"Unknown.088",0.599649197895827,0.405940594059406,0.0055995471775277,0.772277227722772
"Unknown.083",0.594766030145793,0.405940594059406,0.00359549806225992,0.98019801980198
"Unknown.040",0.582298993627581,0.415841584158416,0.0010538454663588,1
"X3.5.dimethoxy.4.hydroxycinnamic.acid..sinapic.acid.",0.566536898186096,0.425742574257426,0.00706463189000817,0.831683168316832
"aconitic.acid",0.546464853653418,0.475247524752475,0.00303610734638234,0.891089108910891
"ferulic.acid",0.527047569070319,0.425742574257426,0.00198431799931104,0.930693069306931
"Unknown.013",0.521737824535054,0.544554455445545,0.014046503400473,0.415841584158416
"Unknown.065.1",0.510474402223339,0.524752475247525,0.00363798710696483,0.900990099009901
"Unknown.154",0.497834821859206,0.504950495049505,0.00231208994950168,0.920792079207921
"methylsuccinic.acid.",0.496686325619863,0.475247524752475,0.00306857056714436,0.821782178217822
"succinic.anhydride.",0.464711755796454,0.435643564356436,0.00441165944428757,0.930693069306931
"Unknown.160",0.424434068630608,0.504950495049505,0.00146133310152795,1
"X4.hydroxy.3.methoxybenzoic.acid..vanillic.acid.",0.412415154293045,0.425742574257426,0.00403292723868446,0.831683168316832
"Unknown.114",0.411455143249733,0.396039603960396,0.00512361144903402,0.99009900990099
"Unknown.180",0.395939473530699,0.465346534653465,0.00981840425366169,0.287128712871287
"Unknown.094",0.38934846047522,0.623762376237624,0.00103479648840921,1
"Unknown.042",0.372912671784789,0.534653465346535,0.00276375201505941,0.97029702970297
"palmitic.acid",0.358414568837009,0.386138613861386,0.00295384275746628,0.940594059405941
"Unknown.030",0.315266085335665,0.524752475247525,0.00130109622528796,1
"D.malic.acid",0.284839369252631,0.594059405940594,0.00981415069032583,0.287128712871287
"Unknown.025",0.26916550703783,0.316831683168317,0.00172489887596926,1
"D.xylose",0.268626550376563,0.524752475247525,0.00282984191560257,1
"Unknown.128",0.249207509238375,0.643564356435644,0.00944814829551882,0.564356435643564
